,candidate,instances,metric,name,spearmanr
0,average,333,pathlen,slex-vars,0.12039175117632832
0,average,333,normal,slex-vars,0.1737790180446375
0,average,333,resnik_trips,slex-vars,0.1957647330060271
0,average,333,resnik_brown,slex-vars,0.22691784956586844
0,average,999,resnik_trips,slex-nvars,0.2696188989081854
0,average,666,resnik_trips,slex-n,0.3194294712611774
0,average,333,normal_c,slex-vars,0.3454445111822127
0,average,333,tripspath,slex-vars,0.3483803344206133
0,average,222,resnik_trips,slex-v,0.36071142937986017
0,average,222,normal,slex-v,0.366049027418107
0,average,999,resnik_brown,slex-nvars,0.3791366419963542
0,average,222,pathlen,slex-v,0.3821752745301373
0,average,999,normal,slex-nvars,0.3876263571010821
0,average,999,pathlen,slex-nvars,0.39822328982519806
0,average,222,resnik_brown,slex-v,0.40991015984979334
0,average,999,tripspath,slex-nvars,0.4193465067950952
0,average,666,cross,slex-n,0.43692527233645134
0,average,222,normal_c,slex-v,0.43853356733361243
0,average,666,tripspath,slex-n,0.4520948133917412
0,average,999,cross,slex-nvars,0.46437101417465465
0,average,999,normal_c,slex-nvars,0.4678868875605788
0,average,333,cross,slex-vars,0.46824720106361456
0,average,222,tripspath,slex-v,0.5001420272973394
0,average,222,cross,slex-v,0.5017021162549765
0,average,666,resnik_brown,slex-n,0.5246963808223788
0,average,666,normal,slex-n,0.5501522698845167
0,average,666,normal_c,slex-n,0.5809385088385774
0,average,666,pathlen,slex-n,0.5841527924205264
