,candidate,choice1,choice2,conf_high,conf_low,instances,metric,name,spearmanr
0,average,max,max,0.3427400175892449,0.27806996912616766,3000,normal,MEN-elias,0.31076460349891355
0,average,max,max,0.35019216638462336,0.2858653862150946,3000,cross,MEN-elias,0.3183952607956061
0,average,max,max,0.3913540299863149,0.3290772238542735,3000,normal,MEN-marcos,0.3606174827816075
0,average,max,max,0.3746297404582301,0.3114885046971697,3000,cross,MEN-marcos,0.34344715695324907
0,average,max,max,0.37485600774606975,0.311726178717914,3000,normal,MENNatural-full,0.34367931976289373
0,average,max,max,0.36221602461157976,0.2984610754833705,3000,cross,MENNatural-full,0.3307158320490682
0,average,max,max,0.22984979269733033,0.14527603299100184,2000,normal,MEN-dev,0.18791120765762453
0,average,max,max,0.34500287712010197,0.26552260802928535,2000,cross,MEN-dev,0.30579540120113263
0,lookup,max,max,0.28462917237818386,0.2021685485492968,2000,cross,MEN-dev,0.24383952632654632
0,mfs,max,max,0.2706839178146143,0.18763234958926478,2000,cross,MEN-dev,0.22957599581919072
0,average,max,max,0.19431703098389314,0.07254441754688674,1000,normal,MEN-test,0.13393628001611813
0,average,max,max,0.29660543543007706,0.17967402662734727,1000,cross,MEN-test,0.239006016861289
0,lookup,max,max,0.26863794207808683,0.15010475007368534,1000,cross,MEN-test,0.21014345227249354
0,mfs,max,max,0.20526573801548376,0.08387858423809581,1000,cross,MEN-test,0.14511819021298175
