,candidate,instances,metric,name,spearmanr
0,mfs,2000,normal,MEN-dev,0.05604590564257329
0,mfs,1000,normal,MEN-test,0.056318856640026525
0,mfs,1000,pathlen,MEN-test,0.08038817092630317
0,mfs,2000,pathlen,MEN-dev,0.10718349047376065
0,mfs,1000,resnik_trips,MEN-test,0.17740803877852998
0,mfs,1000,normal_c,MEN-test,0.18138720675855413
0,mfs,1000,cross,MEN-test,0.1915303600718977
0,mfs,1000,tripspath,MEN-test,0.19627300608285328
0,mfs,1000,resnik_brown,MEN-test,0.20872213855743696
0,mfs,2000,resnik_trips,MEN-dev,0.24074648854653363
0,mfs,2000,resnik_brown,MEN-dev,0.24373443822785829
0,mfs,2000,cross,MEN-dev,0.2789176398588491
0,mfs,2000,normal_c,MEN-dev,0.28412584065230484
0,mfs,2000,tripspath,MEN-dev,0.29220058596310666
