,candidate,instances,metric,name,spearmanr
0,mfs,333,pathlen,slex-vars,0.00037815679086289014
0,mfs,333,normal,slex-vars,0.01563657272644835
0,mfs,222,normal,slex-v,0.02320619558441665
0,mfs,222,pathlen,slex-v,0.031399608083548906
0,mfs,222,normal_c,slex-v,0.04132262419860987
0,mfs,333,normal_c,slex-vars,0.06899341217606143
0,mfs,333,resnik_trips,slex-vars,0.0972863320073662
0,mfs,999,resnik_trips,slex-nvars,0.15169272731734965
0,mfs,333,resnik_brown,slex-vars,0.1727579341395573
0,mfs,222,resnik_trips,slex-v,0.1844431253899823
0,mfs,666,resnik_trips,slex-n,0.21560575742018998
0,mfs,222,resnik_brown,slex-v,0.24424103255509
0,mfs,333,cross,slex-vars,0.2689473417528585
0,mfs,999,normal,slex-nvars,0.27514501789900697
0,mfs,999,resnik_brown,slex-nvars,0.2812571163827358
0,mfs,333,tripspath,slex-vars,0.2842640388407058
0,mfs,222,cross,slex-v,0.30772786135652347
0,mfs,999,normal_c,slex-nvars,0.31160858125825686
0,mfs,222,tripspath,slex-v,0.31404392489703803
0,mfs,999,pathlen,slex-nvars,0.3161515095826187
0,mfs,999,cross,slex-nvars,0.34771874732249947
0,mfs,999,tripspath,slex-nvars,0.3584880718436427
0,mfs,666,cross,slex-n,0.3978166416792278
0,mfs,666,tripspath,slex-n,0.4147466524426343
0,mfs,666,resnik_brown,slex-n,0.44576060758240993
0,mfs,666,normal,slex-n,0.4773328585285049
0,mfs,666,normal_c,slex-n,0.4922827893261742
0,mfs,666,pathlen,slex-n,0.5068155231433517
