metric,judgement,word1,word2,pos
0.8,1.58,old,new,a
0.9,9.2,smart,intelligent,a
1.0,8.77,hard,difficult,a
0.9166666666666666,9.55,happy,cheerful,a
0.8333333333333334,0.95,hard,easy,a
0.9,8.75,fast,rapid,a
1.0,9.17,happy,glad,a
0.8181818181818182,1.23,short,long,a
0.9,9.58,stupid,dumb,a
0.9090909090909091,8.93,weird,strange,a
0.8333333333333334,1.03,wide,narrow,a
0.8571428571428571,8.42,bad,awful,a
0.8333333333333334,0.58,easy,difficult,a
0.8571428571428571,7.78,bad,terrible,a
0.8333333333333334,1.38,hard,simple,a
0.8,0.55,smart,dumb,a
0.9090909090909091,9.57,insane,crazy,a
0.8333333333333334,0.95,happy,mad,a
0.8571428571428571,9.47,large,huge,a
1.0,8.05,hard,tough,a
1.0,6.83,new,fresh,a
0.8,0.6,sharp,dull,a
0.9,9.7,quick,rapid,a
0.6,6.67,dumb,foolish,a
1.0,8.63,wonderful,terrific,a
0.9090909090909091,9.02,strange,odd,a
0.6666666666666666,1.28,happy,angry,a
0.8333333333333334,1.18,narrow,broad,a
0.9166666666666666,9.4,simple,easy,a
0.6,0.87,old,fresh,a
0.9,8.47,apparent,obvious,a
1.0,8.72,inexpensive,cheap,a
0.5,5.0,nice,generous,a
0.7619047619047619,0.72,weird,normal,a
0.9090909090909091,9.2,weird,odd,a
0.5,7.62,bad,immoral,a
0.6086956521739131,0.95,sad,funny,a
0.9090909090909091,8.05,wonderful,great,a
0.5,6.38,guilty,ashamed,a
0.6666666666666666,6.5,beautiful,wonderful,a
0.9,8.27,confident,sure,a
1.0,7.27,dumb,dense,a
1.0,9.55,large,big,a
0.5,0.67,nice,cruel,a
0.5,6.03,impatient,anxious,a
0.9,6.73,big,broad,a
0.5454545454545454,3.17,strong,proud,a
0.8,0.63,unnecessary,necessary,a
0.6,1.6,restless,young,a
0.8,0.75,dumb,intelligent,a
0.7619047619047619,0.35,bad,great,a
0.8333333333333334,0.87,difficult,simple,a
0.7,7.37,necessary,important,a
0.7619047619047619,0.65,bad,terrific,a
0.8333333333333334,1.45,mad,glad,a
0.5,1.18,honest,guilty,a
0.8333333333333334,0.52,easy,tough,a
0.5217391304347826,4.1,easy,flexible,a
1.0,8.42,certain,sure,a
0.9,8.97,essential,necessary,a
0.5,1.08,different,normal,a
0.5,7.25,sly,clever,a
1.0,8.82,crucial,important,a
0.5,8.18,harsh,cruel,a
0.5,5.5,childish,foolish,a
0.5714285714285714,9.17,scarce,rare,a
0.5,5.9,friendly,generous,a
0.5,2.38,fragile,frigid,a
0.782608695652174,3.57,long,narrow,a
1.0,6.18,big,heavy,a
0.5,2.47,rough,frigid,a
0.9090909090909091,9.37,bizarre,strange,a
0.5,4.28,illegal,immoral,a
0.5,4.2,bad,guilty,a
0.8,0.73,modern,ancient,a
0.7,0.23,new,ancient,a
0.6666666666666666,0.55,dull,funny,a
0.5454545454545454,2.0,happy,young,a
0.5454545454545454,1.12,easy,big,a
0.7272727272727273,1.17,great,awful,a
0.7272727272727273,0.6,tiny,huge,a
0.5,7.63,polite,proper,a
0.5,2.65,modest,ashamed,a
0.5,8.05,exotic,rare,a
0.8,1.17,dumb,clever,a
0.5454545454545454,8.65,delightful,wonderful,a
0.6,8.48,noticeable,obvious,a
0.75,5.07,afraid,anxious,a
0.5,8.02,formal,proper,a
0.5,8.25,dreary,dull,a
0.6086956521739131,6.58,delightful,cheerful,a
0.6666666666666666,5.95,unhappy,mad,a
0.6086956521739131,5.4,sad,terrible,a
1.0,3.57,sick,crazy,a
0.5454545454545454,6.98,violent,angry,a
0.5,5.9,laden,heavy,a
0.7,1.6,dirty,cheap,a
1.0,7.78,elastic,flexible,a
0.5454545454545454,5.9,hard,dense,a
0.8181818181818182,7.05,recent,new,a
0.5454545454545454,3.97,bold,proud,a
0.5,1.97,sly,strange,a
0.5,2.07,strange,sly,a
0.5714285714285714,0.48,dumb,rare,a
0.5,0.58,sly,tough,a
0.6363636363636364,0.4,terrific,mad,a
0.5714285714285714,0.98,modest,flexible,a
0.6,0.4,fresh,wide,a
0.5714285714285714,0.48,huge,dumb,a
0.5714285714285714,0.48,large,flexible,a
0.5454545454545454,0.3,dirty,narrow,a
0.9166666666666666,2.3,wife,husband,n
0.9,6.35,book,text,n
0.9166666666666666,3.17,groom,bride,n
0.875,1.88,night,day,n
0.8888888888888888,2.2,south,north,n
0.36363636363636365,3.65,plane,airport,n
0.9166666666666666,5.5,uncle,aunt,n
0.9565217391304348,8.33,horse,mare,n
0.8,0.7,bottom,top,n
0.9230769230769231,8.78,friend,buddy,n
1.0,9.35,student,pupil,n
1.0,6.67,world,globe,n
0.875,2.88,leg,arm,n
0.875,8.1,plane,jet,n
0.9090909090909091,3.33,woman,man,n
0.7368421052631579,7.07,horse,colt,n
0.9090909090909091,7.12,actress,actor,n
1.0,9.25,teacher,instructor,n
1.0,8.87,movie,film,n
0.9,7.85,bird,hawk,n
0.7777777777777778,3.68,word,dictionary,n
0.5555555555555556,7.88,money,salary,n
0.9,1.75,dog,cat,n
1.0,9.47,area,region,n
0.8888888888888888,6.43,navy,army,n
0.875,7.53,book,literature,n
0.6666666666666666,3.27,clothes,closet,n
0.875,2.47,sunset,sunrise,n
0.9090909090909091,2.98,child,adult,n
0.9629629629629629,9.52,cow,cattle,n
0.8888888888888888,5.63,book,story,n
0.7777777777777778,2.38,winter,summer,n
1.0,9.2,taxi,cab,n
0.8888888888888888,5.53,tree,maple,n
0.5714285714285714,3.4,bed,bedroom,n
1.0,7.58,roof,ceiling,n
0.8235294117647058,7.15,disease,infection,n
0.875,4.85,arm,shoulder,n
0.9090909090909091,8.42,sheep,lamb,n
0.9090909090909091,3.42,lady,gentleman,n
0.7142857142857143,2.25,boat,anchor,n
0.9090909090909091,6.28,priest,monk,n
0.875,4.68,toe,finger,n
0.875,7.3,river,stream,n
0.875,8.73,anger,fury,n
0.6666666666666666,4.42,date,calendar,n
1.0,8.27,sea,ocean,n
1.0,4.62,second,minute,n
0.875,3.88,hand,thumb,n
0.8333333333333334,7.3,wood,log,n
0.8888888888888888,7.32,mud,dirt,n
0.9230769230769231,9.28,hallway,corridor,n
1.0,7.62,way,manner,n
0.9,1.12,mouse,cat,n
0.8695652173913043,9.05,cop,sheriff,n
0.6,4.93,death,burial,n
0.9,6.98,music,melody,n
0.9,7.5,beer,alcohol,n
1.0,7.1,mouth,lip,n
0.8888888888888888,6.38,storm,hurricane,n
0.3333333333333333,2.38,tax,income,n
0.8235294117647058,6.95,flower,violet,n
0.8333333333333334,5.38,paper,cardboard,n
0.9285714285714286,1.73,floor,ceiling,n
0.8,8.33,beach,seashore,n
0.8,3.03,rod,curtain,n
0.9090909090909091,2.38,hound,fox,n
0.9166666666666666,5.48,street,alley,n
0.8571428571428571,4.28,boat,deck,n
0.7368421052631579,2.57,car,horn,n
0.8695652173913043,4.25,friend,guest,n
0.9090909090909091,3.65,employer,employee,n
0.875,3.97,hand,wrist,n
0.875,2.58,ball,cannon,n
0.9,6.98,alcohol,brandy,n
1.0,8.98,victory,triumph,n
0.6666666666666666,3.63,telephone,booth,n
1.0,5.4,door,doorway,n
0.9285714285714286,8.17,motel,inn,n
0.7692307692307693,5.47,clothes,cloth,n
0.875,7.47,steak,meat,n
0.875,3.55,nail,thumb,n
