,candidate,choice1,choice2,conf_high,conf_low,instances,metric,name,spearmanr
0,average,max,max,0.6010054887123233,0.494862602660241,666,normal,slex-n,0.5501522698845167
0,average,max,max,0.4551426243799566,0.3265194699220841,666,cross,slex-n,0.39275001191673076
0,lookup,max,max,0.3279691240303803,0.1861159475122969,666,cross,slex-n,0.2584351224571479
0,mfs,max,max,0.4453389221077788,0.3154901124062402,666,cross,slex-n,0.38230022403825825
0,average,max,max,0.474837502791549,0.24624233668431458,222,normal,slex-v,0.366049027418107
0,average,max,max,0.5916370575389834,0.3929567619921895,222,cross,slex-v,0.4988218300466471
0,lookup,max,max,0.4328570312124135,0.19595070029769163,222,cross,slex-v,0.3193854415659787
0,mfs,max,max,0.3891229406817772,0.1448509823508379,222,cross,slex-v,0.2713509124787717
0,average,max,max,0.276099912646313,0.06756320582906246,333,normal,slex-vars,0.1737790180446375
0,average,max,max,0.5617183898794038,0.3965523509759021,333,cross,slex-vars,0.48342618108597185
0,lookup,max,max,0.34068492786859633,0.13818845427603899,333,cross,slex-vars,0.24207088934485887
0,mfs,max,max,0.2911768774869925,0.08386533317503861,333,cross,slex-vars,0.18963375537354657
0,average,max,max,0.4390946233916308,0.3336222585327433,999,normal,slex-nvars,0.3876263571010821
0,average,max,max,0.4872092842906605,0.38693006127934554,999,cross,slex-nvars,0.4384331657644457
0,lookup,max,max,0.3183483954314586,0.20274944964468639,999,cross,slex-nvars,0.2614863581687794
0,mfs,max,max,0.3766716727139605,0.26545266547083723,999,cross,slex-nvars,0.3221734075196326
