,candidate,instances,metric,name,spearmanr
0,average,2999,resnik_trips,slex-3000-test,0.3974199615690668
0,average,499,resnik_trips,slex-500-dev,0.4144119629489125
0,average,2999,normal,slex-3000-test,0.42147848779696084
0,average,2999,tripspath,slex-3000-test,0.4276430792125456
0,average,2999,pathlen,slex-3000-test,0.4300098835386241
0,average,2999,cross,slex-3000-test,0.4475139899773754
0,average,2999,resnik_brown,slex-3000-test,0.46091076008249865
0,average,2999,normal_c,slex-3000-test,0.46813993453231
0,average,499,tripspath,slex-500-dev,0.4863896352153237
0,average,499,normal,slex-500-dev,0.4982813507350539
0,average,499,cross,slex-500-dev,0.5090264125904911
0,average,499,resnik_brown,slex-500-dev,0.510002300252765
0,average,499,pathlen,slex-500-dev,0.5176986181339344
0,average,499,normal_c,slex-500-dev,0.5456452895806253
