,candidate,choice1,choice2,conf_high,conf_low,instances,metric,name,spearmanr
0,average,max,max,0.44715543542471325,0.26511887950877916,353,normal,ws353-combined,0.3595532450318682
0,average,max,max,0.39506983255544104,0.20530096099247044,353,cross,ws353-combined,0.30318832268400725
0,average,max,average,0.3927878951295836,0.20271228355199145,353,cross,ws353-combined,0.30073351623471367
0,mfs,max,max,0.3651645682372662,0.17158512510667961,353,cross,ws353-combined,0.27111401280190456
0,average,max,max,0.22401340382099527,-0.021039560227813957,251,normal,ws353-relatedness,0.10305034027797459
0,average,max,max,0.2520703708050993,0.008701962350822625,251,cross,ws353-relatedness,0.1323807625226505
0,average,max,average,0.19595443040861005,-0.0503556788685035,251,cross,ws353-relatedness,0.07392670149465293
0,mfs,max,max,0.1631922880027199,-0.0840568522584209,251,cross,ws353-relatedness,0.04018281111699301
0,average,max,max,0.7095631058805286,0.5430153284877858,202,normal,ws353-similarity,0.6335729313981281
0,average,max,max,0.5924745282040939,0.383015693039127,202,cross,ws353-similarity,0.49490051247736205
0,average,max,average,0.5761602825264746,0.3616773742662158,202,cross,ws353-similarity,0.4759655259119036
0,mfs,max,max,0.5693403821609421,0.3528233530456583,202,cross,ws353-similarity,0.4680775046826474
